state,trump_2016_vote_share,trump_won,mask_requirement_detail,maskreq_effective_date,State_FIPS,State_Population,Pct_White_Non_Hispanic,Pct_Population_in_Poverty,Median_Household_Income,Pct_Population_No_Health_Insurance,effective,enforcement,date,fips,cases,deaths,total_cases_per100k,total_deaths_per100k,m_mandate,n_days
Mississippi,57.90%,Yes,Entire State,8/4/20,28.0,2988762.0,56.77775614,20.75166061,43567.0,12.67197167,3/31/2020 - 5/11/2020,Yes,2020-09-28,28,97049,2921,9.7049,0.2921,1,42
Missouri,56.40%,Yes,Parts of State,,29.0,6090062.0,79.61051956,14.18491702,53560.0,9.721055198,4/6/2020 - 5/3/2020,No,2020-09-28,29,127411,2121,12.7411,0.2121,0,28
Montana,55.60%,Yes,Entire State,7/15/20,30.0,1041732.0,86.29407564,13.68182234,52559.0,10.21930944,3/29/2020 - 4/26/2020,Yes,2020-09-28,30,12538,174,1.2538,0.0174,1,29
Nebraska,58.70%,Yes,Entire State (Employees Only),,31.0,1904760.0,79.3965644,11.554686,59116.0,8.415552811,,,2020-09-28,31,44578,487,4.4578,0.0487,0,0
Nevada,45.50%,No,Entire State,6/25/20,32.0,2922849.0,49.88601874,13.65414222,57598.0,11.91712482,4/2/2020 - 5/9/2020,Yes,2020-09-28,32,79313,1586,7.9313,0.1586,1,38
New Hampshire,46.50%,No,Parts of State,,33.0,1343622.0,90.39350353,7.869211418,74057.0,6.505142723,3/27/2020 - 6/15/2020,Yes,2020-09-28,33,8208,439,0.8208,0.0439,0,81
New Jersey,41.00%,No,Entire State,4/10/20,34.0,8881845.0,55.84430937,10.38298193,79363.0,8.465975051,3/21/2020 - 6/9/2020,Yes,2020-09-28,34,205898,16107,20.5898,1.6107,1,81
New Mexico,40.00%,No,Entire State,5/15/20,35.0,2092434.0,37.67421099,20.01062971,48059.0,10.71237982,3/24/2020 - 5/31/2020,No,2020-09-28,35,28985,873,2.8985,0.0873,1,69
New York,36.50%,No,Entire State,4/15/20,36.0,19618453.0,55.86339555,14.64224201,65323.0,6.477076952,3/22/2020 - 5/28/2020,No,2020-09-28,36,461176,32737,46.1176,3.2737,1,68
North Carolina,49.80%,Yes,Entire State,6/26/20,37.0,10155624.0,63.34459606,15.42256822,52413.0,11.06024489,3/30/2020 - 5/22/2020,Yes,2020-09-28,37,208497,3469,20.8497,0.3469,1,54
North Dakota,63.00%,Yes,Parts of State,,38.0,752201.0,85.01411192,10.8988866,63473.0,7.400430022,,,2020-09-28,38,20986,237,2.0986,0.0237,0,0
Ohio,51.30%,Yes,Entire State,7/23/20,39.0,11641879.0,79.20231777,14.54167878,54533.0,6.480760679,3/23/2020 - 5/29/2020,Yes,2020-09-28,39,151802,4746,15.1802,0.4746,1,68
Oklahoma,65.30%,Yes,Parts of State,,40.0,3918137.0,66.00356241,15.98656919,51424.0,14.2165559,3/24/2020 - 5/6/2020,No,2020-09-28,40,85194,1007,8.5194,0.1007,0,44
Oregon,39.10%,No,Entire State,7/1/20,41.0,4081943.0,76.03136546,14.1151402,59393.0,7.265826223,3/23/2020 - Until lifted,Yes,2020-09-28,41,32995,549,3.2995,0.0549,1,190
Pennsylvania,48.20%,Yes,Entire State,4/17/20,42.0,12791181.0,76.82531425,12.75387719,59445.0,6.241065385,3/23/2020 - 6/4/2020,No,2020-09-28,42,161642,8181,16.1642,0.8181,1,74
Rhode Island,38.90%,No,Entire State,4/20/20,44.0,1056611.0,72.65937985,13.09559078,63296.0,5.213766442,3/28/2020 - 5/8/2020,No,2020-09-28,44,24424,1110,2.4424,0.111,1,42
South Carolina,54.90%,Yes,Entire State (Most Indoor Public Places),,45.0,4955925.0,63.70098418,16.00803651,51015.0,11.01627359,4/6/2020 - 5/4/2020,Yes,2020-09-28,45,146455,3337,14.6455,0.3337,0,29
South Dakota,61.50%,Yes,No,,46.0,864289.0,82.24216668,13.55146176,56499.0,9.386753517,,,2020-09-28,46,21738,218,2.1738,0.0218,0,0
Tennessee,60.70%,Yes,Parts of State,,47.0,6651089.0,74.03516928,16.12794751,50972.0,10.09325006,3/31/2020 - 4/30/2020,No,2020-09-28,47,190991,2362,19.0991,0.2362,0,31
Texas,52.20%,Yes,Entire State,7/3/20,48.0,27885195.0,42.34240786,15.45565852,59570.0,17.37894338,3/31/2020 - 4/30/2020,Yes,2020-09-28,48,773679,15898,77.3679,1.5898,1,31
Utah,45.10%,Yes,"Masks strongly recommended, provides masks for free",,49.0,3045350.0,78.61946903,10.33715226,68374.0,9.993479223,3/27/2020 - 5/1/2020,No,2020-09-28,49,71442,453,7.1442,0.0453,0,36
Vermont,30.30%,No,Entire State,8/1/20,50.0,624977.0,92.96710119,11.16611753,60076.0,4.097942142,3/24/2020 - 5/15/2020,No,2020-09-28,50,1745,58,0.1745,0.0058,1,53
Virginia,44.40%,No,Entire State,5/29/20,51.0,8413774.0,62.19695228,10.94790843,71564.0,9.218980287,3/24/2020 - 6/10/2020,Yes,2020-09-28,51,146593,3172,14.6593,0.3172,1,79
Washington,36.80%,No,Entire Territory,4/3/20,53.0,7294336.0,69.08384807,11.47241692,70116.0,6.787660898,3/25/2020 - 5/31/2020,Yes,2020-09-28,53,90596,2199,9.0596,0.2199,1,68
Washington,36.80%,No,Entire State,6/26/20,53.0,7294336.0,69.08384807,11.47241692,70116.0,6.787660898,3/25/2020 - 5/31/2020,Yes,2020-09-28,53,90596,2199,9.0596,0.2199,1,68
West Virginia,67.90%,Yes,Entire State,7/7/20,54.0,1829054.0,92.11078514,17.75760329,44921.0,6.489359929,3/24/2020 - 5/4/2020,Yes,2020-09-28,54,15512,337,1.5512,0.0337,1,42
Wisconsin,47.20%,Yes,Entire State,8/1/20,55.0,5778394.0,81.52850083,11.87268499,59209.0,5.77308285,3/25/2020 - 5/13/2020,Yes,2020-09-28,55,124320,1293,12.432,0.1293,1,50
Wyoming,68.20%,Yes,Parts of State,,56.0,581836.0,84.14037633,11.14728409,62268.0,11.34540839,,,2020-09-28,56,5754,50,0.5754,0.005,0,0
